Sentence,Translation,Cloze,Pronunciation,TTSPronunciation,Note,Register,KeyMeaning,PitchAccent,Conjugations
コマンドインジェクションを防いでください。,Prevent command injection.,インジェクション,コマンドインジェクションを防【ふせ】いでください。,コマンドインジェクションを防【ふせ】いでください。,Security - Injection,polite,injection,"<ruby class=""vocab"">インジェクション<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">じぇ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
すべてのユーザー入力をサニタイズしてください。,Sanitize all user input.,サニタイズ,すべてのユーザー入力【にゅうりょく】をサニタイズしてください。,すべてのユーザー入力【にゅうりょく】をサニタイズしてください。,Security - Input Validation,polite,sanitize,"<span class=""vocab"">サニタイズ</span>",
サーバーで入力を検証してください。,Validate input on the server.,検証,サーバーで入力【にゅうりょく】を検証【けんしょう】してください。,サーバーで入力【にゅうりょく】を検証【けんしょう】してください。,Data - Validation,polite,verification,"<ruby class=""vocab"">検証<rt><span class=""pitch-l"">け</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">しょ</span><span class=""pitch-h"">う</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 検証 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>検証する</td></tr><tr><td>Polite ます形</td><td>検証します</td></tr><tr><td>Polite Negative ません形</td><td>検証しません</td></tr><tr><td>Te-form て形</td><td>検証して</td></tr><tr><td>Polite Past ました形</td><td>検証しました</td></tr><tr><td>Progressive ている形</td><td>検証しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>検証できる</td></tr><tr><td>Passive 受身形</td><td>検証される</td></tr><tr><td>Conditional たら形</td><td>検証したら</td></tr><tr><td>Volitional 意向形</td><td>検証しよう</td></tr><tr><td>Should べき形</td><td>検証すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>検証なさる</td></tr><tr><td>Humble 謙譲語</td><td>検証いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
特殊文字をエスケープしてください。,Escape special characters.,エスケープ,特殊【とくしゅ】文字【もじ】をエスケープしてください。,特殊【とくしゅ】文字【もじ】をエスケープしてください。,Other - Escape,polite,escape,"<ruby class=""vocab"">エスケープ<rt><span class=""pitch-l"">え</span><span class=""pitch-h"">す</span><span class=""pitch-h"">け</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ぷ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for エスケープ (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>エスケープする</td></tr><tr><td>Polite ます形</td><td>エスケープします</td></tr><tr><td>Polite Negative ません形</td><td>エスケープしません</td></tr><tr><td>Te-form て形</td><td>エスケープして</td></tr><tr><td>Polite Past ました形</td><td>エスケープしました</td></tr><tr><td>Progressive ている形</td><td>エスケープしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>エスケープできる</td></tr><tr><td>Passive 受身形</td><td>エスケープされる</td></tr><tr><td>Conditional たら形</td><td>エスケープしたら</td></tr><tr><td>Volitional 意向形</td><td>エスケープしよう</td></tr><tr><td>Should べき形</td><td>エスケープすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>エスケープなさる</td></tr><tr><td>Humble 謙譲語</td><td>エスケープいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
許可値にはホワイトリストを使ってください。,Use a whitelist for allowed values.,ホワイトリスト,許可【きょか】値【ち】にはホワイトリストを使【つか】ってください。,許可【きょか】値【ち】にはホワイトリストを使【つか】ってください。,Security - Whitelist,polite,whitelist,"<span class=""vocab"">ホワイトリスト</span>",
既知の悪いIPをブラックリストに追加してください。,Blacklist known bad IPs.,ブラックリスト,既知【きち】の悪【わる】いIPをブラックリストに追加【ついか】してください。,既知【きち】の悪【わる】いIPをブラックリストに追加【ついか】してください。,Security - Blacklist,polite,list,"<ruby class=""vocab"">ブラックリスト<rt><span class=""pitch-l"">ぶ</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">っ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">り</span><span class=""pitch-l"">す</span><span class=""pitch-l"">と</span></rt></ruby>",
ファイアウォールルールを設定してください。,Configure the firewall rules.,ファイアウォール,ファイアウォールルールを設定【せってい】してください。,ファイアウォールルールを設定【せってい】してください。,Infrastructure - Firewall,polite,firewall,"<ruby class=""vocab"">ファイアウォール<rt><span class=""pitch-l"">ふぁ</span><span class=""pitch-h"">い</span><span class=""pitch-h"">あ</span><span class=""pitch-h"">うぉ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">る</span></rt></ruby>",
保護のためにWAFをデプロイしてください。,Deploy a WAF for protection.,WAF,保護【ほご】のためにWAFをデプロイしてください。,保護【ほご】のためにWAFをデプロイしてください。,Security - Waf,polite,WAF (firewall),"<span class=""vocab"">WAF</span>",
DDoS攻撃を受けています。,We're under DDoS attack.,DDoS,DDoS攻撃【こうげき】を受【う】けています。,DDoS攻撃【こうげき】を受【う】けています。,Security - Ddos,polite,DDoS (attack),"<span class=""vocab"">DDoS</span>",
レート制限を実装してください。,Implement rate limiting.,レート制限,レート制限【せいげん】を実装【じっそう】してください。,レート制限【せいげん】を実装【じっそう】してください。,Security - Rate Limiting,polite,rate,"<ruby class=""vocab"">レート制限<rt>せいげん</rt></ruby>",
過度のリクエストをスロットルしてください。,Throttle excessive requests.,スロットル,過度【かど】のリクエストをスロットルしてください。,過度【かど】のリクエストをスロットルしてください。,Security - Rate Limiting,polite,slot,"<ruby class=""vocab"">スロットル<rt><span class=""pitch-l"">す</span><span class=""pitch-h"">ろ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span><span class=""pitch-l"">る</span></rt></ruby>",
監査ログを有効にしてください。,Enable audit logging.,監査,監査【かんさ】ログを有効【ゆうこう】にしてください。,監査【かんさ】ログを有効【ゆうこう】にしてください。,Security - Audit,polite,audit,"<ruby class=""vocab"">監査<rt><span class=""pitch-h"">か</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">さ</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for 監査 (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>監査する</td></tr><tr><td>Polite ます形</td><td>監査します</td></tr><tr><td>Polite Negative ません形</td><td>監査しません</td></tr><tr><td>Te-form て形</td><td>監査して</td></tr><tr><td>Polite Past ました形</td><td>監査しました</td></tr><tr><td>Progressive ている形</td><td>監査しています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>監査できる</td></tr><tr><td>Passive 受身形</td><td>監査される</td></tr><tr><td>Conditional たら形</td><td>監査したら</td></tr><tr><td>Volitional 意向形</td><td>監査しよう</td></tr><tr><td>Should べき形</td><td>監査すべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>監査なさる</td></tr><tr><td>Humble 謙譲語</td><td>監査いたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
コンプライアンス要件を満たしてください。,Meet compliance requirements.,コンプライアンス,コンプライアンス要件【ようけん】を満【み】たしてください。,コンプライアンス要件【ようけん】を満【み】たしてください。,Security - Compliance,polite,compliance,"<ruby class=""vocab"">コンプライアンス<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ぷ</span><span class=""pitch-h"">ら</span><span class=""pitch-l"">い</span><span class=""pitch-l"">あ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">す</span></rt></ruby>",
GDPRコンプライアンスを確保してください。,Ensure GDPR compliance.,GDPR,GDPRコンプライアンスを確保【かくほ】してください。,GDPRコンプライアンスを確保【かくほ】してください。,Security - Compliance,polite,GDPR,"<span class=""vocab"">GDPR</span>",
PCIコンプライアントです。,We're PCI compliant.,PCI,PCIコンプライアントです。,PCIコンプライアントです。,Security - Compliance,polite,PCI,"<span class=""vocab"">PCI</span>",
SOC 2監査に合格してください。,Pass the SOC 2 audit.,SOC 2,SOC 2監査【かんさ】に合格【ごうかく】してください。,SOC 2監査【かんさ】に合格【ごうかく】してください。,Security - Compliance,polite,SOC 2,"<span class=""vocab"">SOC 2</span>",
ペネトレーションテストをスケジュールしてください。,Schedule a pen test.,ペネトレーションテスト,ペネトレーションテストをスケジュールしてください。,ペネトレーションテストをスケジュールしてください。,Security - Pen Test,polite,test,"<span class=""vocab"">ペネトレーションテスト</span>",
脆弱性スキャンを実行してください。,Run a vulnerability scan.,脆弱性スキャン,脆弱性【ぜいじゃくせい】スキャンを実行【じっこう】してください。,脆弱性【ぜいじゃくせい】スキャンを実行【じっこう】してください。,Security - Scan,polite,vulnerability,"<ruby class=""vocab"">脆弱性スキャン<rt>ぜいじゃくせいスキャン</rt></ruby>",
シークレットをログに記録しないでください。,Never log secrets.,シークレット,シークレットをログに記録【きろく】しないでください。,シークレットをログに記録【きろく】しないでください。,Security - Secret,polite,secret,"<ruby class=""vocab"">シークレット<rt><span class=""pitch-h"">し</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">く</span><span class=""pitch-l"">れ</span><span class=""pitch-l"">っ</span><span class=""pitch-l"">と</span></rt></ruby>",
キーローテーションを実装してください。,Implement key rotation.,キーローテーション,キーローテーションを実装【じっそう】してください。,キーローテーションを実装【じっそう】してください。,Security - Key Rotation,polite,key rotation,"<span class=""vocab"">キーローテーション</span>",
すべてのユーザーにMFAを有効にしてください。,Enable MFA for all users.,MFA,すべてのユーザーにMFAを有効【ゆうこう】にしてください。,すべてのユーザーにMFAを有効【ゆうこう】にしてください。,Security - Mfa,polite,MFA (multi-factor),"<span class=""vocab"">MFA</span>",
OktaでSSOを使ってください。,Use SSO with Okta.,SSO,OktaでSSOを使【つか】ってください。,OktaでSSOを使【つか】ってください。,Security - Sso,polite,SSO (single sign-on),"<span class=""vocab"">SSO</span>",
エンタープライズ向けにSAMLを統合してください。,Integrate SAML for enterprise.,SAML,エンタープライズ向【む】けにSAMLを統合【とうごう】してください。,エンタープライズ向【む】けにSAMLを統合【とうごう】してください。,Security - Saml,polite,SAML,"<span class=""vocab"">SAML</span>",
認証にはOAuth 2.0を使ってください。,Use OAuth 2.0 for auth.,OAuth,認証【にんしょう】にはOAuth 2.0を使【つか】ってください。,認証【にんしょう】にはOAuth 2.0を使【つか】ってください。,Security - Oauth,polite,OAuth,"<span class=""vocab"">OAuth</span>",
フロントエンドで働いています。,I work on the frontend.,フロントエンド,フロントエンドで働【はたら】いています。,フロントエンドで働【はたら】いています。,Frontend - General,polite,frontend,"<span class=""vocab"">フロントエンド</span>",
バックエンドチームが助けてくれます。,The backend team will help.,バックエンド,バックエンドチームが助【たす】けてくれます。,バックエンドチームが助【たす】けてくれます。,Backend - General,polite,backend,"<span class=""vocab"">バックエンド</span>",
フルスタック開発者が必要です。,We need a fullstack developer.,フルスタック,フルスタック開発者【かいはつしゃ】が必要【ひつよう】です。,フルスタック開発者【かいはつしゃ】が必要【ひつよう】です。,Development - Fullstack,polite,stack,"<span class=""vocab"">フルスタック</span>",
UIデザインを改善してください。,Improve the UI design.,UI,UIデザインを改善【かいぜん】してください。,UIデザインを改善【かいぜん】してください。,Frontend - Ui,polite,UI,"<span class=""vocab"">UI</span>",
より良いUXに集中してください。,Focus on better UX.,UX,より良【よ】いUXに集中【しゅうちゅう】してください。,より良【よ】いUXに集中【しゅうちゅう】してください。,Frontend - Ux,polite,UX,"<span class=""vocab"">UX</span>",
再利用可能なコンポーネントを作成してください。,Create a reusable component.,コンポーネント,再利用【さいりよう】可能【かのう】なコンポーネントを作成【さくせい】してください。,再利用【さいりよう】可能【かのう】なコンポーネントを作成【さくせい】してください。,Architecture - Component,polite,component,"<ruby class=""vocab"">コンポーネント<rt><span class=""pitch-l"">こ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ぽ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">ね</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">と</span></rt></ruby>",
propsでデータを渡してください。,Pass data via props.,props,propsでデータを渡【わた】してください。,propsでデータを渡【わた】してください。,Frontend - React,polite,props,"<span class=""vocab"">props</span>",
コンポーネントのstateを管理してください。,Manage component state.,state,コンポーネントのstateを管理【かんり】してください。,コンポーネントのstateを管理【かんり】してください。,Frontend - React,polite,state,"<span class=""vocab"">state</span>",
カスタムhookを使ってください。,Use a custom hook.,hook,カスタムhookを使【つか】ってください。,カスタムhookを使【つか】ってください。,Frontend - React,polite,hook,"<span class=""vocab"">hook</span>",
コンポーネントが再レンダリングされます。,The component re-renders.,レンダリング,コンポーネントが再【さい】レンダリングされます。,コンポーネントが再【さい】レンダリングされます。,Frontend - Rendering,polite,rendering,"<ruby class=""vocab"">レンダリング<rt><span class=""pitch-h"">れ</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">だ</span><span class=""pitch-l"">り</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ぐ</span></rt></ruby>",
Reactは仮想DOMを使います。,React uses virtual DOM.,仮想DOM,Reactは仮想【かそう】DOMを使【つか】います。,Reactは仮想【かそう】DOMを使【つか】います。,Frontend - React,polite,DOM,"<ruby class=""vocab"">仮想DOM<rt>かそうDOM</rt></ruby>",
DOMを直接操作してください。,Manipulate the DOM directly.,DOM,DOMを直接【ちょくせつ】操作【そうさ】してください。,DOMを直接【ちょくせつ】操作【そうさ】してください。,Frontend - Dom,polite,DOM,"<span class=""vocab"">DOM</span>",
クリックイベントを処理してください。,Handle the click event.,イベント,クリックイベントを処理【しょり】してください。,クリックイベントを処理【しょり】してください。,Frontend - Event,polite,event,"<ruby class=""vocab"">イベント<rt><span class=""pitch-l"">い</span><span class=""pitch-h"">べ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>",
イベントリスナーを追加してください。,Add an event listener.,リスナー,イベントリスナーを追加【ついか】してください。,イベントリスナーを追加【ついか】してください。,Frontend - Event,polite,listener,"<ruby class=""vocab"">リスナー<rt><span class=""pitch-l"">り</span><span class=""pitch-h"">す</span><span class=""pitch-h"">な</span><span class=""pitch-h"">ー</span></rt></ruby>",
イベントハンドラーを書いてください。,Write an event handler.,ハンドラー,イベントハンドラーを書【か】いてください。,イベントハンドラーを書【か】いてください。,Frontend - Event,polite,handler,"<ruby class=""vocab"">ハンドラー<rt><span class=""pitch-h"">は</span><span class=""pitch-l"">ん</span><span class=""pitch-l"">ど</span><span class=""pitch-l"">ら</span><span class=""pitch-l"">ー</span></rt></ruby>",
双方向データバインディングを使ってください。,Use two-way data binding.,バインディング,双方向【そうほうこう】データバインディングを使【つか】ってください。,双方向【そうほうこう】データバインディングを使【つか】ってください。,Frontend - Binding,polite,binding,"<ruby class=""vocab"">バインディング<rt><span class=""pitch-l"">ば</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">でぃ</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ぐ</span></rt></ruby>",
ライフサイクルメソッドを使ってください。,Use lifecycle methods.,ライフサイクル,ライフサイクルメソッドを使【つか】ってください。,ライフサイクルメソッドを使【つか】ってください。,Frontend - Lifecycle,polite,lifecycle,"<span class=""vocab"">ライフサイクル</span>",
マウント時にデータをフェッチしてください。,Fetch data on mount.,マウント,マウント時【とき】にデータをフェッチしてください。,マウント時【とき】にデータをフェッチしてください。,Frontend - Lifecycle,polite,mount,"<ruby class=""vocab"">マウント<rt><span class=""pitch-l"">ま</span><span class=""pitch-h"">う</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">と</span></rt></ruby>",
アンマウント時にクリーンアップしてください。,Clean up on unmount.,アンマウント,アンマウント時【とき】にクリーンアップしてください。,アンマウント時【とき】にクリーンアップしてください。,Frontend - Lifecycle,polite,unmount,"<span class=""vocab"">アンマウント</span>",
SEOにはSSRを使ってください。,Use SSR for SEO.,SSR,SEOにはSSRを使【つか】ってください。,SEOにはSSRを使【つか】ってください。,Frontend - Ssr,polite,SSR (server rendering),"<span class=""vocab"">SSR</span>",
CSRは初回後より速く読み込みます。,CSR loads faster after initial.,CSR,CSRは初回【しょかい】後【ご】より速【はや】く読【よ】み込【こ】みます。,CSRは初回【しょかい】後【ご】より速【はや】く読【よ】み込【こ】みます。,Frontend - Csr,polite,CSR (client rendering),"<span class=""vocab"">CSR</span>",
ハイドレーションはクライアントで行われます。,Hydration happens on client.,ハイドレーション,ハイドレーションはクライアントで行【おこな】われます。,ハイドレーションはクライアントで行【おこな】われます。,Frontend - Hydration,polite,hydration,"<ruby class=""vocab"">ハイドレーション<rt><span class=""pitch-l"">は</span><span class=""pitch-h"">い</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
遅延読み込みを実装してください。,Implement lazy loading.,遅延読み込み,遅延【ちえん】読【よ】み込【こ】みを実装【じっそう】してください。,遅延【ちえん】読【よ】み込【こ】みを実装【じっそう】してください。,Frontend - Performance,polite,load,"<ruby class=""vocab"">遅延読み込み<rt>ちえんよみこみ</rt></ruby>",
コード分割を使ってください。,Use code splitting.,コード分割,コード分割【ぶんかつ】を使【つか】ってください。,コード分割【ぶんかつ】を使【つか】ってください。,Frontend - Performance,polite,code splitting,"<ruby class=""vocab"">コード分割<rt>ぶんかつ</rt></ruby>",
バンドルサイズが大きすぎます。,The bundle size is too large.,バンドル,バンドルサイズが大【おお】きすぎます。,バンドルサイズが大【おお】きすぎます。,Frontend - Build,polite,bundle,"<ruby class=""vocab"">バンドル<rt><span class=""pitch-l"">ば</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">ど</span><span class=""pitch-h"">る</span></rt></ruby>","<details class=""conjugation-section""><summary>Conjugations for バンドル (する動詞)</summary><table class=""conjugation-table""><tr><th colspan=""2"">Basic Forms</th></tr><tr><td>Dictionary 辞書形</td><td>バンドルする</td></tr><tr><td>Polite ます形</td><td>バンドルします</td></tr><tr><td>Polite Negative ません形</td><td>バンドルしません</td></tr><tr><td>Te-form て形</td><td>バンドルして</td></tr><tr><td>Polite Past ました形</td><td>バンドルしました</td></tr><tr><td>Progressive ている形</td><td>バンドルしています</td></tr><tr><th colspan=""2"">Advanced Forms</th></tr><tr><td>Potential 可能形</td><td>バンドルできる</td></tr><tr><td>Passive 受身形</td><td>バンドルされる</td></tr><tr><td>Conditional たら形</td><td>バンドルしたら</td></tr><tr><td>Volitional 意向形</td><td>バンドルしよう</td></tr><tr><td>Should べき形</td><td>バンドルすべき</td></tr><tr><th colspan=""2"">Keigo 敬語</th></tr><tr><td>Respectful 尊敬語</td><td>バンドルなさる</td></tr><tr><td>Humble 謙譲語</td><td>バンドルいたす</td></tr></table><table class=""conjugation-table te-table""><tr><th colspan=""2"">て形 Compounds</th></tr><tr><td>～てください</td><td>Please do (request)</td></tr><tr><td>～ています</td><td>Ongoing / resultant state</td></tr><tr><td>～ておく</td><td>Do in advance</td></tr><tr><td>～ていただく</td><td>Receive the favor of (humble request)</td></tr><tr><td>～てしまう</td><td>Completed (sometimes regrettable)</td></tr><tr><td>～てもらう</td><td>Have someone do</td></tr></table></details>"
本番用にJavaScriptを最小化してください。,Minify JavaScript for production.,最小化,本番【ほんばん】用【よう】にJavaScriptを最小化【さいしょうか】してください。,本番【ほんばん】用【よう】にJavaScriptを最小化【さいしょうか】してください。,Frontend - Build,polite,minimize,"<ruby class=""vocab"">最小化<rt>さいしょうか</rt></ruby>",
TypeScriptをJSにトランスパイルしてください。,Transpile TypeScript to JS.,トランスパイル,TypeScriptをJSにトランスパイルしてください。,TypeScriptをJSにトランスパイルしてください。,Frontend - Build,polite,transpile,"<span class=""vocab"">トランスパイル</span>",
webpackを設定してください。,Configure webpack.,webpack,webpackを設定【せってい】してください。,webpackを設定【せってい】してください。,Frontend - Build,polite,webpack,"<span class=""vocab"">webpack</span>",
本番ビルドを実行してください。,Run the production build.,本番ビルド,本番【ほんばん】ビルドを実行【じっこう】してください。,本番【ほんばん】ビルドを実行【じっこう】してください。,Frontend - Build,polite,build,"<ruby class=""vocab"">本番ビルド<rt>ほんばんビルド</rt></ruby>",
モバイル用にレスポンシブにしてください。,Make it responsive for mobile.,レスポンシブ,モバイル用【よう】にレスポンシブにしてください。,モバイル用【よう】にレスポンシブにしてください。,Frontend - Responsive,polite,responsive,"<span class=""vocab"">レスポンシブ</span>",
モバイルブレークポイントを追加してください。,Add a mobile breakpoint.,ブレークポイント,モバイルブレークポイントを追加【ついか】してください。,モバイルブレークポイントを追加【ついか】してください。,Frontend - Responsive,polite,breakpoint,"<span class=""vocab"">ブレークポイント</span>",
クリーンなCSSを書いてください。,Write clean CSS.,CSS,クリーンなCSSを書【か】いてください。,クリーンなCSSを書【か】いてください。,Frontend - Css,polite,CSS,"<span class=""vocab"">CSS</span>",
レイアウトにはFlexboxを使ってください。,Use Flexbox for layout.,Flexbox,レイアウトにはFlexboxを使【つか】ってください。,レイアウトにはFlexboxを使【つか】ってください。,Frontend - Css,polite,Flexbox,"<span class=""vocab"">Flexbox</span>",
CSS Gridは強力です。,CSS Grid is powerful.,Grid,CSS Gridは強力【きょうりょく】です。,CSS Gridは強力【きょうりょく】です。,Frontend - Css,polite,Grid,"<span class=""vocab"">Grid</span>",
控えめなアニメーションを追加してください。,Add a subtle animation.,アニメーション,控【ひか】えめなアニメーションを追加【ついか】してください。,控【ひか】えめなアニメーションを追加【ついか】してください。,Frontend - Css,polite,animation,"<ruby class=""vocab"">アニメーション<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">に</span><span class=""pitch-h"">め</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
スムーズなトランジションは見栄えが良いです。,Smooth transitions look better.,トランジション,スムーズなトランジションは見栄【みば】えが良【よ】いです。,スムーズなトランジションは見栄【みば】えが良【よ】いです。,Frontend - Css,polite,transition,"<ruby class=""vocab"">トランジション<rt><span class=""pitch-l"">と</span><span class=""pitch-h"">ら</span><span class=""pitch-h"">ん</span><span class=""pitch-h"">じ</span><span class=""pitch-l"">しょ</span><span class=""pitch-l"">ん</span></rt></ruby>",
アクセシビリティのコンプライアンスを確保してください。,Ensure accessibility compliance.,アクセシビリティ,アクセシビリティのコンプライアンスを確保【かくほ】してください。,アクセシビリティのコンプライアンスを確保【かくほ】してください。,Frontend - Accessibility,polite,accessibility,"<ruby class=""vocab"">アクセシビリティ<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">く</span><span class=""pitch-h"">せ</span><span class=""pitch-h"">し</span><span class=""pitch-h"">び</span><span class=""pitch-l"">り</span><span class=""pitch-l"">てぃ</span></rt></ruby>",
Lighthouseでa11yをチェックしてください。,Check a11y with Lighthouse.,a11y,Lighthouseでa11yをチェックしてください。,Lighthouseでa11yをチェックしてください。,Frontend - Accessibility,polite,a11y,"<span class=""vocab"">a11y</span>",
ARIAラベルを追加してください。,Add ARIA labels.,ARIA,ARIAラベルを追加【ついか】してください。,ARIAラベルを追加【ついか】してください。,Frontend - Accessibility,polite,ARIA (accessibility),"<span class=""vocab"">ARIA</span>",
SEO用に最適化してください。,Optimize for SEO.,SEO,SEO用【よう】に最適化【さいてきか】してください。,SEO用【よう】に最適化【さいてきか】してください。,Frontend - Seo,polite,SEO,"<span class=""vocab"">SEO</span>",
共有用にメタタグを追加してください。,Add meta tags for sharing.,メタタグ,共有【きょうゆう】用【よう】にメタタグを追加【ついか】してください。,共有【きょうゆう】用【よう】にメタタグを追加【ついか】してください。,Frontend - Seo,polite,meta tag,"<span class=""vocab"">メタタグ</span>",
ビューポートを正しく設定してください。,Set the viewport correctly.,ビューポート,ビューポートを正【ただ】しく設定【せってい】してください。,ビューポートを正【ただ】しく設定【せってい】してください。,Frontend - Viewport,polite,view,"<span class=""vocab"">ビューポート</span>",
アイコンは24ピクセルです。,The icon is 24 pixels.,ピクセル,アイコンは24ピクセルです。,アイコンは24ピクセルです。,Frontend - Ui,polite,pixel,"<ruby class=""vocab"">ピクセル<rt><span class=""pitch-h"">ぴ</span><span class=""pitch-l"">く</span><span class=""pitch-l"">せ</span><span class=""pitch-l"">る</span></rt></ruby>",
フォーム入力を検証してください。,Validate the form input.,フォーム,フォーム入力【にゅうりょく】を検証【けんしょう】してください。,フォーム入力【にゅうりょく】を検証【けんしょう】してください。,Frontend - Form,polite,form,"<ruby class=""vocab"">フォーム<rt><span class=""pitch-h"">ふぉ</span><span class=""pitch-l"">ー</span><span class=""pitch-l"">む</span></rt></ruby>",
入力フィールドにスタイルを当ててください。,Style the input field.,入力フィールド,入力【にゅうりょく】フィールドにスタイルを当【あ】ててください。,入力【にゅうりょく】フィールドにスタイルを当【あ】ててください。,Frontend - Form,polite,field,"<ruby class=""vocab"">入力フィールド<rt>にゅうりょくフィールド</rt></ruby>",
クライアント側の検証を追加してください。,Add client-side validation.,クライアント側,クライアント側【がわ】の検証【けんしょう】を追加【ついか】してください。,クライアント側【が、わ】の検証【けんしょう】を追加【ついか】してください。,Frontend - Client,polite,client,"<ruby class=""vocab"">クライアント側<rt>がわ</rt></ruby>",
