tier,row,old_guid,new_guid,old_sentence,new_sentence
4,103,bH.|R-Gf|b,E6A.#Ak]qQ,遅延読み込みを実装してください。,遅延読み込みを実装しましょう。
4,104,w{nL[zP4hv,ppNezS51FG,コード分割を使ってください。,コード分割を使いましょう。
4,106,i0:7hZC[RV,"uUvF2V!;,8",本番用にJavaScriptを最小化してください。,本番用にJavaScriptを最小化すべきです。
4,108,c3Nd3{_$G4,tt:Fx<2EnV,webpackを設定してください。,webpackを設定してもらえますか？
4,110,uCHP`|5b9A,KEC~^V)O`t,モバイル用にレスポンシブにしてください。,モバイル用にレスポンシブにしてもらえますか？
4,111,ti+]rMjR2R,c*`DA$E!*u,モバイルブレークポイントを追加してください。,モバイルブレークポイントを追加してもらえますか？
4,112,qb:b/V1L~o,da!Ke8h:Je,クリーンなCSSを書いてください。,クリーンなCSSを書きましょう。
4,113,AySC~<h_VU,k._-^yWlkT,レイアウトにはFlexboxを使ってください。,レイアウトにはFlexboxを使った方がいいです。
4,115,C>S&(6Pscs,Pk>Fo}eoK<,控えめなアニメーションを追加してください。,控えめなアニメーションを追加してもらえますか？
4,117,N|kw!wutp6,"f)Z:ljo;,g",アクセシビリティのコンプライアンスを確保してください。,アクセシビリティのコンプライアンスを確保すべきです。
4,118,b.335)}-%x,rMku-uZd=q,Lighthouseでa11yをチェックしてください。,Lighthouseでa11yをチェックしてもらえますか？
4,119,ul9_E(}7mP,s]3CwIkCCe,ARIAラベルを追加してください。,ARIAラベルを追加してもらえますか？
4,120,kL][u)540r,E&##n_Bkl&,SEO用に最適化してください。,SEO用に最適化しましょう。
4,121,f<VA~4!./;,lfU.+.y<wl,共有用にメタタグを追加してください。,共有用にメタタグを追加してもらえますか？
4,124,Kr{!;n%7FJ,o~u+P2dM92,フォーム入力を検証してください。,フォーム入力を検証すべきです。
4,125,"j*>{,J;-iA",xyz7R|kk)p,入力フィールドにスタイルを当ててください。,入力フィールドにスタイルを当ててもらえますか？
4,126,G^Z2PNVAn&,bJ4JT$E@XL,クライアント側の検証を追加してください。,クライアント側の検証を追加してもらえますか？
4,128,od|yEND(4$,M!}8r>xptq,確認モーダルを表示してください。,確認モーダルを表示してもらえますか？
4,129,FssN<1AU&b,euIPOi!gvY,成功トーストを表示してください。,成功トーストを表示してもらえますか？
4,131,yf!r8Mo@%e,n<P~]Z+}{[,開発サーバーを起動してください。,開発サーバーを起動してもらえますか？
4,132,Hwm!kq.QlJ,jhgN8$WAD|,REST APIを設計してください。,REST APIを設計しましょう。
4,133,p&-(N|FKmO,l.8s@pI]Ze,新しいエンドポイントを作成してください。,新しいエンドポイントを作成してもらえますか？
4,136,GAfP++cm^S,C~U@K`zJW+,ロジックをコントローラーに移動してください。,ロジックをコントローラーに移動してもらえますか？
4,137,cd<F^6LWpm,K!Q.]=__tP,ユーザーサービスを作成してください。,ユーザーサービスを作成してもらえますか？
4,142,IZ]Ac[I6p(,GTGlC-GYS~,認証ミドルウェアを追加してください。,認証ミドルウェアを追加してもらえますか？
4,146,IWtbtOINgB,"Cn`~?T,#i;",サーバー側の検証を行ってください。,サーバー側の検証を行うべきです。
4,149,y?(duFF1l2,K@SNN9M)Tj,ORMとしてPrismaを使ってください。,ORMとしてPrismaを使った方がいいです。
4,150,"n,iWe6ocx7",E?`8lly<1o,クエリビルダーを使ってください。,クエリビルダーを使った方がいいです。
4,151,fgo*~;!L|7,x~0bGa*nW!,生のSQLクエリを書いてください。,生のSQLクエリを書いてもらえますか？
4,152,"d,~g%#`?&|",NP`}9a2/B-,データベース接続をプールしてください。,データベース接続をプールすべきです。
4,153,k@rhxML0b1,_({9!6&gB,コネクションプールを設定してください。,コネクションプールを設定してもらえますか？
4,154,Hp2`L%y-Nc,CB^ZnLSdGr,これにはトランザクションを使ってください。,これにはトランザクションを使った方がいいです。
4,158,%flxCUmc*,"PI:S/E?U0,",非同期ジョブを作成してください。,非同期ジョブを作成してもらえますか？
4,160,t>E;.@qWU8,bRQsv2JRyy,cronジョブを設定してください。,cronジョブを設定してもらえますか？
4,162,d@j/5n:%%z,LU|zfq;Xeh,ページネーションを実装してください。,ページネーションを実装しましょう。
4,163,jC=0c#1Z2:,H!o&u(Dz-a,カーソルページネーションを使ってください。,カーソルページネーションを使った方がいいです。
4,165,eHqHi&O;~e,"hW,4`It/Du",結果を100件に制限してください。,結果を100件に制限してもらえますか？
4,168,lV~VzJKy+y,d%TIOyah|S,全文検索を実装してください。,全文検索を実装しましょう。
4,169,s[E}jbg.c!,qTZJu;J!EX,検索インデックスを追加してください。,検索インデックスを追加してもらえますか？
4,170,KG<=F+xEOw,sz-NA0l+fQ,メトリクスを集計してください。,メトリクスを集計してもらえますか？
4,172,o4p8}hYC|4,"F,WQLgb~v(",注文金額を合計してください。,注文金額を合計してもらえますか？
4,173,jt3Zp>=Q)Y,"dt,M{710Q,",平均評価を計算してください。,平均評価を計算してもらえますか？
4,181,sPb?7f.G{H,c)3!PYlr7h,ETLパイプラインを構築してください。,ETLパイプラインを構築しましょう。
4,187,H?VXIM:Aw1,P*@+gp2`Ly,夜間にバッチ処理をしてください。,夜間にバッチ処理をしましょう。
4,191,eOqt}e&_=9,Q:V-(SUtje,データスキーマを定義してください。,データスキーマを定義してもらえますか？
4,192,u2]>d}sK=U,"Ao|bqs|,9k",Parquet形式を使ってください。,Parquet形式を使った方がいいです。
4,193,wU]dcKV:pn,FyEg;#kZm&,CSVにエクスポートしてください。,CSVにエクスポートしてもらえますか？
4,195,kK-TVrYt,A2i>lK4@_(,XMLをJSONに変換してください。,XMLをJSONに変換してもらえますか？
4,198,wysAS]C]K`,tO3Wug3bCg,レコードの重複を排除してください。,レコードの重複を排除してもらえますか？
4,199,g:0uOE=hDn,b;#Yz8&^Q[,データ品質を検証してください。,データ品質を検証すべきです。
4,200,i4F3qy$F98,x|W_2#3uD),データセットをクレンジングしてください。,データセットをクレンジングしてもらえますか？
5,2,I9Q1T$>cPK,B#Jj.fkF~1,丁重に異議を唱えます。,すみませんが、この点には異議があります。
5,6,rmL(t]Nctv,Pg=Y_>I`oC,これについてどう思いますか？,これについて意見を聞かせてもらえますか？
5,23,f><bnLDzjL,x1frA4TEK;,まず整合性を取りましょう。,まず認識合わせをしましょう。
5,31,QDQmsZ?2I8,i?ASXeNYdd,利益は明らかです。,メリットは明らかです。
5,38,qA$;Sa(iNE,LQ.e`j43=X,これは修正が重大です。,これは重大なので、すぐに修正が必要です。
5,42,s!#7Y4x2CK,r%f#=1.385,これは厳しい要件ですか？,これは必須の要件ですか？
5,63,tx{<a-C|w},K%FuEgX=Wx,事前通知です、午後3時にデプロイします。,リリースの事前通知をユーザーに送ってください。
5,83,gUB8!Dps8&,q*fF))Dj=Q,同意なら絵文字でリアクトしてください。,同意なら絵文字でリアクションしてください。
5,87,sQ5Io%/1cw,c6;?+%u([!,その会議は辞退する必要があります。,その会議は欠席させてください。
5,99,"i,DxTlRc]a",r?!@9H`A_7,簡単な同期コールが必要です。,軽く同期を取るために通話しましょう。
6,25,J0z{x$Z:8r,vC_#>R*c6S,重要な持ち帰りは...,一旦持ち帰って検討します。
6,59,s/sSRG%P1q,i+T[tlMxvs,まだコードベースに立ち上がり中です。,まだコードベースをキャッチアップ中です。
6,74,im^f9`3b<2,L$L~x$}nrw,責任をオーナーシップしてください。,担当タスクには最後まで責任を持ってください。
6,76,E$2=GNJ!{=,NWEwM<cwo`,主導権を発揮してください。,主導権を握ってプロジェクトを進めてください。
6,86,"c3}cbs^N,z",LRHgdfx]k|,信頼できて一貫性を持ってください。,信頼できる人になるには、一貫性が大切です。
6,91,q3!(H}E|}v,z^(0bYR=Ch,議論で包括的になってください。,包括的なレビューをお願いします。
6,97,fTK4>mi#>u,fz#!pZl_`C,バグに忍耐を持ってください。,デバッグには忍耐が必要です。
6,100,N_%@/j(Ad-,jJl+&gDa|.,あなたは成功します！,この方法なら成功すると思います。
9,20,gI+0g*:#FE,fD5D;gI_YR,ドキュメントは腐敗しやすいですがテストは嘘をつけません。,ドキュメントは腐りやすいですがテストは嘘をつけません。
